,bldg_Building_gml_id,value_building_per_sqare_meter,value_indoor_movable_property,floor_height,value_building,value_building_Above,value_building_Below,value_contents_Above,value_contents_Below,value_contents
42,bldg_4adf206c-81f1-4d60-afab-fc72b25d18eb,20000,0,2.0187500000029104,7189866.000639999,0.0,0.0,0.0,0.0,0.0
43,bldg_3768513d-0b5b-4c37-adbe-c4faa9d25224,20000,0,4.333399999988615,2902926.163373113,0.0,0.0,0.0,0.0,0.0
44,bldg_e721dd62-03bb-4ed2-ac06-befe87be464f,20000,0,3.952099999994971,3203697.7992971027,0.0,0.0,0.0,0.0,0.0
45,bldg_1ae626ba-8744-4b27-9e1a-8b2c6caf64dd,20000,0,2.9125000000058208,6086552.749839393,0.0,0.0,0.0,0.0,0.0
46,bldg_6ffc234f-440b-4db3-9f10-f84484f97f3e,20000,0,5.282000000006519,3170775.99926,0.0,0.0,0.0,0.0,0.0
47,bldg_c904de0b-45b3-4eee-b2bf-6747ca2d635d,20000,0,3.0,477533.74543641444,0.0,0.0,0.0,0.0,0.0
48,bldg_757c6b0b-a550-456f-a69c-63c5bb137d3a,20000,0,3.197149999999965,4006421.99928,0.0,0.0,0.0,0.0,0.0
49,bldg_295f870c-6003-4281-8ad8-f018f7db3482,20000,0,2.6336000000010245,1442217.2411550183,0.0,0.0,0.0,0.0,0.0
50,bldg_fb87250d-022d-4966-b2d0-d53aca255be7,20000,0,1.5615000000034343,2740420.0006399998,0.0,0.0,0.0,0.0,0.0
51,bldg_6b4ce482-6322-422c-9a0b-857b94be150d,20000,0,3.562099999995553,2057111.5161994817,0.0,0.0,0.0,0.0,0.0
52,bldg_d8370a3b-f31b-43e4-840c-e5cdbe8a9675,20000,0,2.037450000003446,6075120.00092,0.0,0.0,0.0,0.0,0.0
53,bldg_e1c4b819-6189-45e9-947e-4c07a2b956fe,20000,0,2.4959000000017113,3608824.00084,0.0,0.0,0.0,0.0,0.0
54,bldg_b897a31a-e2f6-44f3-8b38-57e03b352649,20000,0,3.8574999999982538,6470721.611705502,0.0,0.0,0.0,0.0,0.0
55,bldg_d3969cad-99a4-464f-888e-28f7d9f38dfd,20000,0,2.5777000000089174,295767.089037193,0.0,0.0,0.0,0.0,0.0
56,bldg_7637452a-6d06-49a4-a293-6a6a57f03351,20000,0,3.4993000000031316,3655761.2525088117,0.0,0.0,0.0,0.0,0.0
57,bldg_8e8e99e3-9663-420a-96dc-c1b5588a2021,20000,0,2.509699999995064,802253.9465726974,0.0,0.0,0.0,0.0,0.0
58,bldg_caa4b060-f925-42c5-a5f6-caefdf8f4c92,20000,0,2.6869000000006054,7828708.0012,0.0,0.0,0.0,0.0,0.0
59,bldg_8fc83f3c-5729-42ee-9e47-d2d85e3fe88c,20000,0,1.5,2017633.9995199998,0.0,0.0,0.0,0.0,0.0
60,bldg_868eef2b-4f38-48ef-894e-690f556066b0,20000,0,3.0,1300467.000072,0.0,0.0,0.0,0.0,0.0
61,bldg_75d0ac48-8967-45fc-a6f0-9a38365a2183,20000,0,2.3844000000026426,4759918.140619914,0.0,0.0,0.0,0.0,0.0
62,bldg_2a4f7a20-b94d-45f5-81bb-620e9bc9523f,20000,0,3.0,958714.99973,0.0,0.0,0.0,0.0,0.0
63,bldg_68abbb62-7c8f-461f-b909-0b166cac5521,20000,0,3.0323500000013155,4157056.0008400003,0.0,0.0,0.0,0.0,0.0
64,bldg_46bcc273-749e-42e8-a95f-7cec508d7a49,20000,0,2.68130000000383,3987077.2167074755,0.0,0.0,0.0,0.0,0.0
65,bldg_a1c3a618-5571-4239-9c24-530cc2a80af9,20000,0,1.753049999999348,5636463.999039999,0.0,0.0,0.0,0.0,0.0
66,bldg_fae3e9c1-199b-49b2-9ca7-7c90ea6a3961,20000,0,3.0,375594.2830898536,0.0,0.0,0.0,0.0,0.0
67,bldg_836c1963-d6d5-4954-97a2-cdc760c496f1,20000,0,2.4729500000030384,13445220.910885511,0.0,0.0,0.0,0.0,0.0
68,bldg_84950635-ceeb-4adb-9c6f-8b7b1c3a4e83,20000,0,3.0482499999998254,4452183.99948,0.0,0.0,0.0,0.0,0.0
69,bldg_254edb15-ec5e-472f-9e29-7ea65b1361f5,20000,0,3.5935000000026776,3387928.941765496,0.0,0.0,0.0,0.0,0.0
70,bldg_a97c87c0-6954-41bd-b34c-3be29bcda3e4,20000,0,3.938399999999092,3578459.00002,0.0,0.0,0.0,0.0,0.0
71,bldg_5f2bb8b3-ded1-48e7-8754-5f760fb1dfb8,20000,0,2.806400000001304,1521880.000148,0.0,0.0,0.0,0.0,0.0
72,bldg_14fe7437-d607-4094-8303-d5ef85813246,20000,0,2.51940000000468,1853395.9997919998,0.0,0.0,0.0,0.0,0.0
73,bldg_aa5ef201-25b1-4048-91c1-c777fadd8cfd,20000,0,1.7132999999957974,3741940.0008,0.0,0.0,0.0,0.0,0.0
74,bldg_1860e96c-fe1b-4893-b490-ee10972711ff,20000,0,3.0,779577.9996679999,0.0,0.0,0.0,0.0,0.0
